chapter,number,category,question,answer,enabled,incorrect,reading
1,1,テスト,開発者が困っていることは？,社会保険料,1,"税金,腰痛,耳鳴り",シャカイホケンリョウ
1,1,テスト,開発者の好きな食べ物は？,ナシレマ,1,"ナタデココ,ロティチャナイ,バクテ",ナシレマ
1,1,テスト,開発者の座右の銘は？,冷静になったらアカン,1,"雨垂石を穿つ,死ぬこと以外かすり傷,言行一致",レイセイニナッタラアカン
1,1,テスト,開発者は休日何やってる？,何やってるんでしょうねぇ（他人事）,1,"気を失っている,滝行,夕方に起きて後悔",ナニヤッテルンデショーネー
1,1,テスト,開発者の夢は？,解脱,1,"悟りを開く,神との一体化,出家",ゲダツ
1,1,テスト,開発者の悩みは？,生きる目的なんかを考える癖,1,"減る友達もいない,節々が痛い,酒がやめられない",イキルモクテキナンカヲカンガエルクセ
1,1,テスト,開発者の特技は？,未読無視,1,"虚空を見つめる,虚栄をはる,単純作業",ミドクムシ
1,1,テスト,開発者の最近の主な会話相手は？,居ないんだなこれが,1,"壁のシミ,近所の野良猫,昨日の自分",イナインダナコレガ
1,1,テスト,開発者が最近一番嬉しかったことは？,ないんだなこれが,1,"二度寝できた時,天気が良かった時,誰とも目が合わなかった時",ナインダナコレガ
1,1,テスト,開発者が唯一自分を褒めたいことは？,生命活動をしていること,1,"仕事を完遂できること,誰かを助ける心を持っていること,ないんだなこれが",セイメイカツドウヲシテイルコト
